03:23:09 PM True Scripting-Hub | Put script 'inventory.sh' on IP: 192.168.1.3
03:23:10 PM True Scripting-Hub | Put script 'gomemento' on IP: 192.168.1.3
03:23:10 PM True Scripting-Hub | Put script 'fail2ban.sh' on IP: 192.168.1.3
03:23:10 PM True Scripting-Hub | Put script 'rsyslog.sh' on IP: 192.168.1.3
03:23:10 PM True Scripting-Hub | Put script 'BlockIp.sh' on IP: 192.168.1.3
03:23:10 PM True Scripting-Hub | Put script 'BlockPort.sh' on IP: 192.168.1.3
03:23:10 PM True Scripting-Hub | Put script 'rsyslog_server.sh' on IP: 192.168.1.3
03:23:10 PM True Scripting-Hub | Put script 'snortDockerv2.sh' on IP: 192.168.1.3
03:23:10 PM True Scripting-Hub | Put script 'changepasswordbatch.sh' on IP: 192.168.1.3
03:23:14 PM False Scripting-Hub | Authentication failed. for IP: 192.168.1.5
03:23:14 PM True Scripting-Hub | Put script 'inventory.sh' on IP: 192.168.1.27
03:23:15 PM True Scripting-Hub | Put script 'gomemento' on IP: 192.168.1.27
03:23:15 PM True Scripting-Hub | Put script 'fail2ban.sh' on IP: 192.168.1.27
03:23:15 PM True Scripting-Hub | Put script 'rsyslog.sh' on IP: 192.168.1.27
03:23:15 PM True Scripting-Hub | Put script 'BlockIp.sh' on IP: 192.168.1.27
03:23:15 PM True Scripting-Hub | Put script 'BlockPort.sh' on IP: 192.168.1.27
03:23:15 PM True Scripting-Hub | Put script 'rsyslog_server.sh' on IP: 192.168.1.27
03:23:15 PM True Scripting-Hub | Put script 'snortDockerv2.sh' on IP: 192.168.1.27
03:23:15 PM True Scripting-Hub | Put script 'changepasswordbatch.sh' on IP: 192.168.1.27
03:23:16 PM True Scripting-Hub | Put script 'inventory.sh' on IP: 192.168.1.32
03:23:16 PM True Scripting-Hub | Put script 'gomemento' on IP: 192.168.1.32
03:23:16 PM True Scripting-Hub | Put script 'fail2ban.sh' on IP: 192.168.1.32
03:23:16 PM True Scripting-Hub | Put script 'rsyslog.sh' on IP: 192.168.1.32
03:23:16 PM True Scripting-Hub | Put script 'BlockIp.sh' on IP: 192.168.1.32
03:23:17 PM True Scripting-Hub | Put script 'BlockPort.sh' on IP: 192.168.1.32
03:23:17 PM True Scripting-Hub | Put script 'rsyslog_server.sh' on IP: 192.168.1.32
03:23:17 PM True Scripting-Hub | Put script 'snortDockerv2.sh' on IP: 192.168.1.32
03:23:17 PM True Scripting-Hub | Put script 'changepasswordbatch.sh' on IP: 192.168.1.32
03:23:19 PM True Scripting-Hub | Put script 'inventory.sh' on IP: 192.168.1.33
03:23:21 PM True Scripting-Hub | Put script 'gomemento' on IP: 192.168.1.33
03:23:21 PM True Scripting-Hub | Put script 'fail2ban.sh' on IP: 192.168.1.33
03:23:21 PM True Scripting-Hub | Put script 'rsyslog.sh' on IP: 192.168.1.33
03:23:21 PM True Scripting-Hub | Put script 'BlockIp.sh' on IP: 192.168.1.33
03:23:21 PM True Scripting-Hub | Put script 'BlockPort.sh' on IP: 192.168.1.33
03:23:22 PM True Scripting-Hub | Put script 'rsyslog_server.sh' on IP: 192.168.1.33
03:23:22 PM True Scripting-Hub | Put script 'snortDockerv2.sh' on IP: 192.168.1.33
03:23:22 PM True Scripting-Hub | Put script 'changepasswordbatch.sh' on IP: 192.168.1.33
03:23:23 PM True Scripting-Hub | Put script 'inventory.sh' on IP: 192.168.1.38
03:23:23 PM True Scripting-Hub | Put script 'gomemento' on IP: 192.168.1.38
03:23:23 PM True Scripting-Hub | Put script 'fail2ban.sh' on IP: 192.168.1.38
03:23:23 PM True Scripting-Hub | Put script 'rsyslog.sh' on IP: 192.168.1.38
03:23:23 PM True Scripting-Hub | Put script 'BlockIp.sh' on IP: 192.168.1.38
03:23:23 PM True Scripting-Hub | Put script 'BlockPort.sh' on IP: 192.168.1.38
03:23:24 PM True Scripting-Hub | Put script 'rsyslog_server.sh' on IP: 192.168.1.38
03:23:24 PM True Scripting-Hub | Put script 'snortDockerv2.sh' on IP: 192.168.1.38
03:23:24 PM True Scripting-Hub | Put script 'changepasswordbatch.sh' on IP: 192.168.1.38
03:24:39 PM True Key-Management | Added ssh-key from fedora to: 192.168.1.3
03:24:42 PM False Key-Management | Authentication failed. 192.168.1.5
03:24:43 PM True Key-Management | Added ssh-key from fedora to: 192.168.1.27
03:24:43 PM True Key-Management | Added ssh-key from fedora to: 192.168.1.32
03:24:49 PM True Key-Management | Added ssh-key from fedora to: 192.168.1.33
03:24:49 PM True Key-Management | Added ssh-key from fedora to: 192.168.1.38
03:25:17 PM True Delete-Key | Removed fedora's public key from: 192.168.1.3
03:25:19 PM False Delete-Key | Authentication failed. 192.168.1.5
03:25:19 PM True Delete-Key | Removed fedora's public key from: 192.168.1.27
03:25:20 PM True Delete-Key | Removed fedora's public key from: 192.168.1.32
03:25:20 PM True Delete-Key | Removed fedora's public key from: 192.168.1.33
03:25:20 PM True Delete-Key | Removed fedora's public key from: 192.168.1.38
