Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,5000
1,0,15,141,5000
2,0,19,291,5000
3,0,22,441,5000
4,0,30,586,5000
5,0,34,733,5000
6,0,37,880,5000
7,0,47,1020,5000
8,0,48,1168,5000
9,0,49,1316,5000
10,0,50,1463,5000
11,0,53,1605,5000
12,0,54,1752,5000
13,0,58,1895,5000
14,0,61,2038,5000
15,0,62,2183,5000
16,0,65,2326,5000
17,0,70,2467,5000
18,0,71,2611,5000
19,0,72,2754,5000
20,0,72,2899,5000
21,0,75,3035,5000
22,0,77,3178,5000
23,0,77,3322,5000
24,0,77,3466,5000
25,0,79,3607,5000
26,0,85,3745,5000
27,0,91,3882,5000
28,0,92,4024,5000
29,0,95,4164,5000
30,0,95,4306,5000
31,0,98,4438,5000
32,0,98,4580,5000
33,0,98,4722,5000
34,0,99,4862,5000
35,0,0,5000,5000
36,0,0,5000,5000
37,0,0,5000,5000
38,0,0,5000,5000
39,0,0,5000,5000
40,0,0,5000,5000
41,0,0,5000,5000
42,0,0,5000,5000
43,0,0,5000,5000
44,0,0,5000,5000
45,0,0,5000,5000
46,0,0,5000,5000
47,0,0,5000,5000
48,0,0,5000,5000
49,0,0,5000,5000
50,0,0,5000,5000
51,0,0,5000,5000
52,0,0,5000,5000
53,0,0,5000,5000
54,0,0,5000,5000
55,0,0,5000,5000
56,0,0,5000,5000
57,0,0,5000,5000
58,0,0,5000,5000
59,0,0,5000,5000
60,0,0,5000,5000
61,0,0,5000,5000
